id_torneio,nome_torneio,cidade_torneio,pais_torneio,continente_torneio,latitude_torneio,longitude_torneio,altitude_torneio,superficie_torneio,total_aces_torneio
2004-568,St. Petersburg,São Petersburgo,Rússia,América do Norte,59.9502805,30.2894237,3.737375259399414,Carpet,424
2004-96,Athens Olympics,Atenas,Grécia,Europa,38.0393589,23.7888675,172.8701629638672,Hard,0
2004-807,Acapulco,Acapulco,México,América do Norte,23.634501,-102.552784,1999.349609,Clay,285
2004-741,Nottingham,Nottingham,Reino Unido,Europa,52.954783,-1.158109,61.28526306,Grass,386
2004-747,Beijing,Pequim,China,Ásia,39.9042,116.407396,46.6712265,Hard,293
2004-1536,Madrid Masters,Madri,Espanha,Europa,40.416775,-3.70379,667.6986694,Hard,699
2004-520,Roland Garros,Paris,França,Europa,48.856614,2.352222,54.06916046,Clay,1343
2004-441,Long Island,Long Island,EUA,América do Norte,40.789142,-73.134961,22.11933708,Hard,338
2004-440,s-Hertogenbosch,Rosmalen,Holanda,Europa,51.717149,5.36081,2.25545454,Grass,313
2004-308,Munich,Munique,Alemanha,Europa,48.135125,11.581981,523.5631714,Clay,323
2004-717,Houston,Houston,EUA,América do Norte,29.760427,-95.369803,14.9013443,Clay,246
2004-301,Auckland,Auckland,Nova Zelândia,Oceania,-36.850883,174.764488,11.14038277,Hard,264
2004-306,St. Poelten,Sankt Pölten,Austria,Europa,48.20353,15.63817,296.2186279,Clay,201
2004-580,Australian Open,Melbourne,Austrália,Oceania,-37.813628,144.963058,8.406817436,Hard,2085
2004-404,Indian Wells Masters,Indian Wells,EUA,América do Norte,33.717631,-116.340755,277.1852417,Hard,1050
2004-407,Rotterdam,Rotterdam,Holanda,Europa,51.8820998,4.4848757,-0.519095242023468,Hard,391
2004-403,Miami Masters,Miami,EUA,América do Norte,25.7082748,-80.1611257,-0.5187706351280212,Hard,904
2004-402,Memphis,Memphis,EUA,América do Norte,35.149534,-90.04898,72.96620178,Hard,566
2004-408,Milan,Milão,Italia,Europa,45.464204,9.189982,120.706337,Carpet,573
2004-573,Valencia,Valencia,Espanha,Europa,39.469908,-0.376288,27.05393028,Clay,167
2004-475,Sopot,Sopot,Polônia,Europa,54.441581,18.560096,65.3839035,Clay,182
2004-321,Stuttgart,Stuttgart,Alemanha,Europa,48.775846,9.182932,327.8624878,Clay,302
2004-352,Paris Masters,Paris,França,Europa,48.856614,2.352222,54.06916046,Carpet,581
2004-438,Moscow,Moscou,Rússia,Europa,55.755826,37.6173,147.0406799,Carpet,358
2004-439,Umag,Umago,Croácia,Europa,45.437206,13.525721,3.575510502,Clay,152
2004-533,Costa Do Sauipe,Costa Do Sauipe,Brasil,América do Sul,-12.438033,-37.919165,4.36184597,Clay,228
2004-433,Scottsdale,Scottsdale,EUA,América do Norte,33.49417,-111.926052,398.6959839,Hard,360
2004-540,Wimbledon,Londres,Reino Unido,Europa,51.507218,-0.127586,20.33771706,Grass,2594
2004-890,Shanghai,Xangai,China,Ásia,31.230416,121.473701,6.564735889,Hard,386
